district,pop
London Borough of Tower Hamlets,15794
London Borough of Islington,14589
London Borough of Hackney,13650
London Borough of Kensington_and_Chelsea,11873
London Borough of Lambeth,11844
London Borough of Hammersmith and Fulham,11174
London Borough of Southwark,10609
London Borough of Newham,9687
London Borough of Camden,9660
London Borough of Wandsworth,9584
London Borough of Westminster,9547
London Borough of Haringey,8922
London Borough of Lewisham,8530
London Borough of Brent,7839
London Borough of Waltham Forest,7164
London Borough of Ealing,6592
London Borough of Greenwich,6114
London Borough of Barking and Dagenham,6053
London Borough of Merton,5723
London Borough of Redbridge,5494
London Borough of Harrow,5172
London Borough of Hounslow,5145
London Borough of Sutton,4778
London Borough of Croydon,4515
London Borough of Kingston_upon_Thames,4505                                                  
London Borough of Barnet,4479
London Borough of Enfield,4078
London Borough of Bexley,4070
London Borough of Richmond upon Thames,3402
London Borough of Hillingdon,2634
London Borough of Havering,2332
London Borough of Bromley,2197
